22
ab, DeathNote, Light, Tsugumi Ohba,DN.JPG
ab, OnePiece, Luffy, Eichiro Oda, OP.JPG
ab, BlackClover, Asta, Yuki Tabata, BC.JPG
ab, Jujustu Kaisen, Itadori, Gege Akutami, JJK.JPG
ab, JoJo, Jotaro, Hirohiko Araki, JOJO.JPG
ab, Full MetalAlchemist, Edward, Hiroshi Onogi, FMAB.JPG
ac, ReZero, Subaru, Tappei Nagatsuki,ReZero.JPG, healing
ac, TokyoRevengers, Takemichi, Ken Wakui, TokyoR.JPG, timetravel
ac,FairyTail, Natsu, Hiro Mashima, FT.JPG, fire
ac,KurokoBasketball, Kuroko, Tadatoshi Fujimaki, KB.JPG, Zone
ac,Naruto, Naruto, Masashi Kishimoto, N.JPG, Strength
ad,DragonBall, Goku, Akira Toriyama, DB.JPG, ChiChi
ad, Haikyuu, Hinata, Haruichi Furudate, H.JPG, Yachi
ad,AttackonTitan, Eren, Hajime Isayama, AOT.JPG, Mikasa
ad,FoodWars, Soma, Yuto Tsukuda, FW.JPG, Erina
ad,Baki, Baki, Keisuke Itagaki, B.JPG, Kozue
ae,Bleach, Ichigo, Tite Kubo, Bleach.JPG, Orihime, Bankai
ae,TokyoGhoul, Kaneki, Sui Ishida, TG.JPG, Touka, Kagune
ae,Kakegurui, Yumeko, Homura Kawamoto,K.JPG, Kirari, Gambler
ae, MyHeroAcademia, Deku, Kohei Horikoshi, MHA.JPG, Ochaco, OneForAll
ae,7DS, Meliodas, Nakaba Suzuki, 7DS.JPG, Elizabeth, BlackAura 
ae,ChainSawMan, Denji, Tatsuki Fujimoto, CSM.JPG, Makima, ChainSaw
